farmStrID,d0,d1,t0,t1,size,sizeInf,sizeDead,sizeRemoved
F961,0,43,12,1044,3199,0,0,794
F854,0,43,12,1044,1926,0,0,1926
F809,0,43,12,1044,1174,0,0,1174
F244,0,43,12,1044,1808,0,0,1808
F243,0,43,12,1044,780,0,0,780
F624,0,43,12,1044,1864,0,0,1864
F716,0,43,12,1044,2425,0,0,2425
F268,0,43,12,1044,1252,0,0,1252
F223,0,43,12,1044,1888,0,0,1888
F698,0,43,12,1044,1431,0,0,1431
F597,0,43,12,1044,1147,0,0,1147
F795,0,43,12,1044,2150,0,0,2150
F72,0,43,12,1044,1118,0,0,1118
F326,0,43,12,1044,2468,0,0,2468
F492,0,43,12,1044,2161,0,0,2161
F399,0,43,12,1044,979,0,0,979
F1036,0,43,12,1044,653,0,0,653
F419,0,43,12,1044,1425,0,0,1425
F87,0,43,12,1044,686,0,0,686
F246,0,43,12,1044,1024,0,0,1024
F287,0,43,12,1044,1151,0,0,1151
F965,0,43,12,1044,3049,0,0,3049
F79,0,43,12,1044,915,0,0,915
F32,0,43,12,1044,1593,0,0,1106
F380,0,43,12,1044,1325,0,0,1325
F141,0,43,12,1044,1078,0,0,1078
F1159,0,43,12,1044,1221,0,0,1221
F540,0,43,12,1044,1090,0,0,1090
F1179,0,43,12,1044,1009,0,0,1009
F313,0,43,12,1044,1216,0,0,1216
F396,0,43,12,1044,1896,0,0,1896
F1030,0,43,12,1044,1154,0,0,1154
F799,0,43,12,1044,1654,0,0,1654
F941,0,43,12,1044,1562,0,0,1562
F335,0,43,12,1044,1731,0,0,1731
F555,0,43,12,1044,1044,0,0,1044
F238,0,43,12,1044,2411,0,0,2411
F1002,0,43,12,1044,1193,0,0,662
F798,0,43,12,1044,1580,0,0,1580
F142,0,43,12,1044,607,0,0,607
F780,0,43,12,1044,1186,0,0,1186
F134,0,43,12,1044,1256,0,0,1256
F811,0,43,12,1044,1597,0,0,1597
F126,0,43,12,1044,929,0,0,929
F395,0,43,12,1044,1447,0,0,1447
F1070,0,43,12,1044,1702,0,0,1224
F34,0,43,12,1044,943,0,0,943
F433,0,43,12,1044,1141,0,0,1141
F92,0,43,12,1044,2230,0,0,2230
F838,0,43,12,1044,1441,0,0,1441
F168,0,43,12,1044,759,0,0,759
F412,0,43,12,1044,1494,0,0,597
F567,0,43,12,1044,1093,0,0,1093
F781,0,43,12,1044,1760,0,0,1760
F241,0,43,12,1044,1900,0,0,1900
F290,0,43,12,1044,2368,0,0,2368
F520,0,43,12,1044,1835,0,0,1835
F371,0,43,12,1044,1907,0,0,1907
F715,0,43,12,1044,749,0,0,749
F70,0,43,12,1044,746,0,0,746
F202,0,43,12,1044,913,0,0,913
F614,0,43,12,1044,1295,0,0,1295
F805,0,43,12,1044,625,0,0,625
F506,0,43,12,1044,1409,0,0,1409
F263,0,43,12,1044,1097,0,0,1097
F60,0,43,12,1044,1849,0,0,1849
F343,0,43,12,1044,1303,0,0,1303
F652,0,43,12,1044,910,0,0,910
F958,0,43,12,1044,1152,0,0,455
F330,0,43,12,1044,949,0,0,949
F837,0,43,12,1044,2879,0,0,2879
F49,0,43,12,1044,1305,0,0,1305
F748,0,43,12,1044,3337,0,0,3337
F1171,0,43,12,1044,2675,0,0,2675
F822,0,43,12,1044,1331,0,0,1286
F949,0,43,12,1044,1333,0,0,425
F1038,0,43,12,1044,1796,0,0,1796
F162,0,43,12,1044,940,0,0,940
F197,0,43,12,1044,1403,0,0,1403
F1,0,43,12,1044,1813,0,0,1813
F745,0,43,12,1044,1499,0,0,1499
F778,0,43,12,1044,3210,0,0,3210
F537,0,43,12,1044,2190,0,0,2190
F235,0,43,12,1044,1753,0,0,1753
F674,0,43,12,1044,1583,0,0,1583
F1177,0,43,12,1044,1484,0,0,960
F280,0,43,12,1044,1325,0,0,1325
F550,0,43,12,1044,1495,0,0,1495
F490,0,43,12,1044,1671,0,0,1671
F1032,0,43,12,1044,804,0,0,804
F660,0,43,12,1044,715,0,0,715
F1196,0,43,12,1044,2190,0,0,2190
F1150,0,43,12,1044,1776,0,0,1776
F233,0,43,12,1044,1157,0,0,1157
F1017,0,43,12,1044,2219,0,0,2219
F527,0,43,12,1044,1475,0,0,1475
F642,0,43,12,1044,2257,0,0,2257
F376,0,43,12,1044,1522,0,0,1522
F887,0,43,12,1044,1366,0,0,1366
F616,0,43,12,1044,1558,0,0,1558
F1135,0,43,12,1044,761,0,0,761
F61,0,43,12,1044,2006,0,0,2006
F982,0,43,12,1044,1669,0,0,1669
F1195,0,43,12,1044,1140,0,0,1140
F128,0,43,12,1044,1215,0,0,1215
F19,0,43,12,1044,3063,0,0,3063
F1114,0,43,12,1044,672,0,0,672
F594,0,43,12,1044,2544,0,0,2544
F601,0,43,12,1044,2357,0,0,2357
